VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2020-11-01 00:37:37,2020-11-01 00:51:45,1,1.80,1,N,246,137,1,10,3,0.5,4.1,0,0.3,17.9,2.5
1,2020-11-01 00:17:41,2020-11-01 00:32:22,2,2.80,1,Y,229,4,2,11.5,3,0.5,0,0,0.3,15.3,2.5
1,2020-11-01 00:42:29,2020-11-01 01:09:08,2,8.10,1,N,144,83,1,27,3,0.5,2,0,0.3,32.8,2.5
2,2020-11-01 00:28:59,2020-11-02 00:00:00,1,6.38,1,N,132,205,2,22,0.5,0.5,0,0,0.3,23.3,0
2,2020-11-01 00:13:26,2020-11-01 00:22:59,1,1.96,1,N,166,42,2,9,0.5,0.5,0,0,0.3,10.3,0
2,2020-11-01 00:09:36,2020-11-01 00:20:55,1,2.59,1,N,48,140,1,10.5,0.5,0.5,1.7,0,0.3,16,2.5
2,2020-10-31 23:57:50,2020-11-01 00:28:08,1,18.86,2,N,132,75,1,52,0,0.5,10.61,6.12,0.3,69.53,0
2,2020-11-01 00:32:28,2020-11-01 00:47:34,1,5.44,1,N,236,83,2,17,0.5,0.5,0,0,0.3,20.8,2.5
2,2020-11-01 00:11:49,2020-11-01 00:16:36,1,.46,1,N,75,75,2,5,0.5,0.5,0,0,0.3,6.3,0
