VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2019-10-01 00:19:55,2019-10-01 00:23:57,1,.40,1,N,48,163,2,4.5,3,0.5,0,0,0.3,8.3,2.5
1,2019-10-01 00:40:19,2019-10-01 00:55:17,2,4.30,1,N,144,141,1,14.5,3,0.5,2,0,0.3,20.3,2.5
1,2019-10-01 00:06:52,2019-10-01 00:21:23,1,5.00,1,N,137,80,1,17,3,0.5,5.2,0,0.3,26,2.5
2,2019-10-01 00:36:08,2019-10-01 00:36:15,1,.00,1,N,25,25,4,-2.5,-0.5,-0.5,0,0,-0.3,-3.8,0
2,2019-10-01 00:36:08,2019-10-01 00:36:15,1,.00,1,N,25,25,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,2019-10-01 00:20:15,2019-10-01 00:20:29,1,.00,1,N,193,193,1,2.5,0.5,0.5,0,0,0.3,3.8,0
2,2019-10-01 00:22:41,2019-10-01 00:22:48,1,.00,1,N,193,193,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,2019-10-01 00:23:14,2019-10-01 00:23:18,1,.00,1,N,193,193,2,2.5,0.5,0.5,0,0,0.3,3.8,0
1,2019-10-01 00:03:00,2019-10-01 00:13:37,3,2.20,1,N,163,239,1,10.5,3,0.5,2.85,0,0.3,17.15,2.5
