VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2020-10-01 00:09:08,2020-10-01 00:11:05,1,.00,1,N,145,145,2,3,0.5,0.5,0,0,0.3,4.3,0
1,2020-10-01 00:09:19,2020-10-01 00:19:46,1,2.00,1,Y,238,143,2,9.5,3,0.5,0,0,0.3,13.3,2.5
1,2020-10-01 00:30:00,2020-10-01 00:39:05,1,2.10,1,N,264,230,1,9,3,0.5,2.56,0,0.3,15.36,2.5
2,2020-10-01 00:56:46,2020-10-01 00:57:10,1,.00,1,N,264,152,3,-2.5,-0.5,-0.5,0,0,-0.3,-3.8,0
2,2020-10-01 00:56:46,2020-10-01 00:57:10,1,.00,1,N,264,152,1,2.5,0.5,0.5,0,0,0.3,3.8,0
1,2020-10-01 00:31:00,2020-10-01 00:37:58,1,1.50,1,N,95,102,2,7.5,0.5,0.5,0,0,0.3,8.8,0
1,2020-10-01 00:37:04,2020-10-01 00:39:07,0,.80,1,N,239,238,1,4.5,3,0.5,1.65,0,0.3,9.95,2.5
1,2020-10-01 00:38:44,2020-10-01 00:51:40,1,3.80,1,N,141,260,2,13,3,0.5,0,0,0.3,16.8,2.5
2,2020-10-01 00:00:14,2020-10-01 00:05:17,1,1.44,1,N,209,232,1,6.5,0.5,0.5,5.7,0,0.3,16,2.5
