VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2019-12-01 00:26:58,2019-12-01 00:41:45,1,4.20,1,N,142,116,2,14.5,3,0.5,0,0,0.3,18.3,2.5
1,2019-12-01 00:12:08,2019-12-01 00:12:14,1,.00,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8,0
1,2019-12-01 00:25:53,2019-12-01 00:26:04,1,.00,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8,0
1,2019-12-01 00:12:03,2019-12-01 00:33:19,2,9.40,1,N,138,25,1,28.5,0.5,0.5,10,0,0.3,39.8,0
1,2019-12-01 00:05:27,2019-12-01 00:16:32,2,1.60,1,N,161,237,2,9,3,0.5,0,0,0.3,12.8,2.5
1,2019-12-01 00:58:51,2019-12-01 01:08:37,2,1.00,1,N,161,230,2,6.5,3,0.5,0,0,0.3,10.3,2.5
1,2019-12-01 00:14:19,2019-12-01 00:27:06,0,1.70,1,Y,164,163,2,10,3,0.5,0,0,0.3,13.8,2.5
1,2019-12-01 00:29:35,2019-12-01 00:32:29,0,.50,1,N,79,224,1,4,3,0.5,1.55,0,0.3,9.35,2.5
1,2019-12-01 00:42:19,2019-12-01 00:50:34,0,1.40,1,N,79,107,2,7.5,3,0.5,0,0,0.3,11.3,2.5
