VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2019-08-01 00:09:46,2019-08-01 00:10:36,1,.00,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8,0
1,2019-08-01 00:30:47,2019-08-01 00:31:39,1,.00,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8,0
1,2019-08-01 00:44:50,2019-08-01 00:46:32,1,7.10,1,N,145,145,2,3,0.5,0.5,0,0,0.3,4.3,0
1,2019-08-01 00:57:16,2019-08-01 00:58:20,1,.00,1,N,145,145,2,3,0.5,0.5,0,0,0.3,4.3,0
1,2019-08-01 00:59:18,2019-08-01 01:04:13,1,.00,1,N,145,145,2,4.5,0.5,0.5,0,0,0.3,5.8,0
1,2019-08-01 00:47:20,2019-08-01 01:21:45,1,7.30,1,N,234,61,1,28,3,0.5,7.95,0,0.3,39.75,2.5
1,2019-08-01 00:19:46,2019-08-01 00:20:06,1,.00,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,2019-08-01 00:22:12,2019-08-01 00:22:38,1,.00,1,N,145,145,2,2.5,0,0.5,0,0,0.3,3.3,0
2,2019-08-01 00:34:36,2019-08-01 00:35:16,1,.00,1,N,193,193,1,2.5,0.5,0.5,0.76,0,0.3,4.56,0
