VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2020-03-01 00:31:13,2020-03-01 01:01:42,1,4.70,1,N,88,255,1,22,3,0.5,2,0,0.3,27.8,2.5
2,2020-03-01 00:08:22,2020-03-01 00:08:49,1,.00,1,N,193,193,2,2.5,0.5,0.5,0,0,0.3,3.8,0
1,2020-03-01 00:52:18,2020-03-01 00:59:16,1,1.10,1,N,246,90,1,6,3,0.5,1.95,0,0.3,11.75,2.5
2,2020-03-01 00:47:53,2020-03-01 00:50:57,2,.87,1,N,151,238,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5
1,2020-03-01 00:43:19,2020-03-01 00:58:27,0,4.40,1,N,79,261,1,16.5,3,0.5,4.05,0,0.3,24.35,2.5
1,2020-03-01 00:04:43,2020-03-01 00:23:17,1,3.50,1,Y,113,142,1,15,3,0.5,3.75,0,0.3,22.55,2.5
1,2020-03-01 00:43:21,2020-03-01 01:14:36,1,14.10,1,Y,237,14,1,40.5,3,0.5,8.85,0,0.3,53.15,2.5
1,2020-03-01 00:51:35,2020-03-01 01:00:17,1,1.00,1,N,234,114,1,7,3,0.5,1.3,0,0.3,12.1,2.5
1,2020-03-01 00:13:42,2020-03-01 00:23:00,4,1.10,1,N,148,211,1,7.5,3,0.5,2,0,0.3,13.3,2.5
