VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2019-07-01 00:51:04,2019-07-01 00:51:33,1,.00,1,N,193,193,1,2.5,0.5,0.5,1.14,0,0.3,4.94,0
2,2019-07-01 00:46:04,2019-07-01 01:05:46,1,4.16,1,N,234,25,2,16.5,0.5,0.5,0,0,0.3,20.3,2.5
1,2019-07-01 00:25:09,2019-07-01 01:00:56,1,18.80,2,N,132,42,1,52,0,0.5,11.75,6.12,0.3,70.67,0
2,2019-07-01 00:33:32,2019-07-01 01:15:27,1,18.46,2,N,132,142,1,52,0,0.5,11.06,0,0.3,66.36,2.5
1,2019-07-01 00:00:55,2019-07-01 00:13:05,0,1.70,1,N,107,114,1,9.5,3,0.5,2,0,0.3,15.3,2.5
1,2019-07-01 00:18:23,2019-07-01 00:30:42,0,2.10,1,N,125,45,1,10,3,0.5,2.75,0,0.3,16.55,2.5
1,2019-07-01 00:28:09,2019-07-01 00:51:00,1,2.40,1,N,142,68,1,13,3,0.5,3.35,0,0.3,20.15,2.5
1,2019-07-01 00:57:07,2019-07-01 01:11:41,1,3.00,1,N,246,141,2,12.5,3,0.5,0,0,0.3,16.3,2.5
4,2019-07-01 00:06:16,2019-07-01 00:33:14,1,7.89,1,N,50,80,1,26,0.5,0.5,5.96,0,0.3,35.76,2.5
