VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2019-09-01 00:06:48,2019-09-01 00:25:46,1,2.00,1,N,186,161,2,13,3,0.5,0,0,0.3,16.8,2.5
1,2019-09-01 00:29:17,2019-09-01 00:57:54,1,5.50,1,N,161,256,2,22.5,3,0.5,0,0,0.3,26.3,2.5
1,2019-09-01 00:41:32,2019-09-01 00:41:36,1,2.90,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8,0
1,2019-09-01 00:59:11,2019-09-01 00:59:15,1,.00,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8,0
1,2019-09-01 00:39:41,2019-09-01 00:45:06,1,1.50,1,N,95,93,2,7,0.5,0.5,0,0,0.3,8.3,0
1,2019-09-01 00:00:08,2019-09-01 00:36:43,2,8.30,1,N,161,232,1,29.5,3,0.5,6.66,0,0.3,39.96,2.5
2,2019-08-31 17:22:41,2019-08-31 17:30:04,1,1.30,1,N,163,186,1,7,0.5,0.5,2,0,0.3,12.8,2.5
2,2019-09-01 00:17:23,2019-09-01 00:27:45,1,1.20,1,N,137,186,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5
2,2019-09-01 00:36:12,2019-09-01 01:14:56,1,11.17,1,N,48,89,1,36,0.5,0.5,7.96,0,0.3,47.76,2.5
