VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2020-09-01 00:38:58,2020-09-01 01:08:12,1,10.76,1,N,132,62,1,32.5,0.5,0.5,4.4,0,0.3,38.2,0
2,2020-09-01 00:55:26,2020-09-01 01:15:34,1,6.37,1,N,48,129,1,20.5,0.5,0.5,3,0,0.3,27.3,2.5
2,2020-09-01 00:00:40,2020-09-01 00:10:25,5,2.32,1,N,102,37,1,9.5,0.5,0.5,4,0,0.3,14.8,0
2,2020-09-01 00:26:01,2020-09-01 00:35:50,1,1.82,1,Y,137,246,1,8.5,0.5,0.5,3.08,0,0.3,15.38,2.5
1,2020-09-01 00:29:09,2020-09-01 01:00:33,1,4.90,1,N,79,170,1,24,3,0.5,1,0,0.3,28.8,2.5
2,2020-09-01 00:09:50,2020-09-01 00:12:38,3,1.03,1,N,263,141,2,5,0.5,0.5,0,0,0.3,8.8,2.5
2,2020-09-01 00:40:30,2020-09-01 00:52:16,5,3.43,1,N,170,263,2,12,0.5,0.5,0,0,0.3,15.8,2.5
1,2020-09-01 00:34:21,2020-09-01 01:03:24,1,15.10,1,N,132,89,2,43.5,0.5,0.5,0,0,0.3,44.8,0
2,2020-09-01 00:14:46,2020-09-01 00:23:18,1,1.90,1,N,138,129,1,8.5,0.5,0.5,2.45,0,0.3,12.25,0
