VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2020-08-01 00:02:53,2020-08-01 00:28:54,1,13.20,1,N,237,16,2,36.5,3,0.5,0,0,0.3,40.3,2.5
2,2020-08-01 00:08:11,2020-08-01 00:16:28,1,2.83,1,N,146,137,1,10.5,0.5,0.5,1.5,0,0.3,15.8,2.5
2,2020-08-01 00:22:14,2020-08-01 00:22:20,1,.00,1,N,264,264,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,2020-08-01 00:31:35,2020-08-01 00:36:54,1,2.34,1,N,79,141,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5
2,2020-08-01 00:39:18,2020-08-01 00:42:09,1,1.32,1,N,141,263,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5
2,2020-08-01 00:22:49,2020-08-01 00:31:00,1,.88,1,N,41,74,2,7,0.5,0.5,0,0,0.3,8.3,0
1,2020-08-01 00:53:44,2020-08-01 01:01:50,0,3.00,1,N,170,232,2,11.5,3,0.5,0,0,0.3,15.3,2.5
2,2020-08-01 00:02:37,2020-08-01 00:19:45,1,4.00,1,N,229,231,1,15,0.5,0.5,3.76,0,0.3,22.56,2.5
2,2020-08-01 00:37:12,2020-08-01 01:11:50,2,13.44,1,N,249,89,1,41.5,0.5,0.5,9.06,0,0.3,54.36,2.5
