VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2019-03-01 00:24:41,2019-03-01 00:25:31,1,.00,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8,0
1,2019-03-01 00:25:27,2019-03-01 00:36:37,2,3.70,1,N,95,130,1,13,0.5,0.5,0.7,0,0.3,15,0
1,2019-03-01 00:05:21,2019-03-01 00:38:23,1,14.10,1,N,249,28,1,41,3,0.5,10.1,5.76,0.3,60.66,2.5
1,2019-03-01 00:48:55,2019-03-01 01:06:03,1,9.60,1,N,138,98,2,27,0.5,0.5,0,0,0.3,28.3,0
1,2019-03-01 00:11:42,2019-03-01 00:16:40,1,.80,1,N,48,48,1,5.5,3,0.5,3,0,0.3,12.3,2.5
1,2019-03-01 00:45:03,2019-03-01 00:49:38,1,1.20,1,N,246,48,2,6,3,0.5,0,0,0.3,9.8,2.5
1,2019-03-01 00:02:37,2019-03-01 00:07:30,1,.60,1,Y,239,238,2,5.5,3,0.5,0,0,0.3,9.3,2.5
2,2019-02-28 19:52:45,2019-02-28 20:01:54,1,5.65,1,N,132,197,2,17,0.5,0.5,0,0,0.3,18.3,0
2,2019-03-01 00:14:23,2019-03-01 00:19:17,1,1.16,1,N,229,170,1,6,0.5,0.5,2.45,0,0.3,12.25,2.5
