VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

1,2018-03-01 00:01:34,2018-03-01 00:01:43,1,.00,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8
1,2018-03-01 00:14:34,2018-03-01 00:28:13,1,3.30,1,N,151,244,1,13,0.5,0.5,2.85,0,0.3,17.15
1,2018-03-01 00:51:25,2018-03-01 00:59:54,1,2.70,1,N,238,152,2,10,0.5,0.5,0,0,0.3,11.3
1,2018-03-01 00:00:01,2018-03-01 00:00:17,1,.00,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8
1,2018-03-01 00:55:10,2018-03-01 00:56:36,1,3.70,1,N,145,145,2,3,0.5,0.5,0,0,0.3,4.3
1,2018-03-01 00:56:55,2018-03-01 00:57:01,1,3.70,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8
2,2018-03-01 00:43:30,2018-03-01 00:50:40,1,.00,1,N,193,193,1,5,0.5,0.5,0,0,0.3,6.3
2,2018-03-01 00:52:10,2018-03-01 00:52:21,1,.00,1,N,193,193,1,2.5,0.5,0.5,1.14,0,0.3,4.94
