VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

2,2017-06-08 07:52:31,2017-06-08 08:01:32,6,1.03,1,N,161,140,1,7.5,1,0.5,1.86,0,0.3,11.16
2,2017-06-08 08:08:18,2017-06-08 08:14:00,6,1.03,1,N,162,233,1,6,1,0.5,2.34,0,0.3,10.14
2,2017-06-08 08:16:49,2017-06-08 15:43:22,6,5.63,1,N,137,41,2,21.5,1,0.5,0,0,0.3,23.3
2,2017-06-29 15:52:35,2017-06-29 16:03:27,6,1.43,1,N,142,48,1,8.5,1,0.5,0.88,0,0.3,11.18
1,2017-06-01 00:00:00,2017-06-01 00:03:43,1,.60,1,N,140,141,1,4.5,0.5,0.5,2,0,0.3,7.8
2,2017-06-01 00:00:00,2017-06-01 00:00:00,2,17.57,2,N,132,74,1,52,0,0.5,11.71,5.76,0.3,70.27
2,2017-06-01 00:00:00,2017-06-01 00:00:00,5,13.34,1,N,138,249,1,47,0,0.5,10.71,5.76,0.3,64.27
2,2017-06-01 00:00:00,2017-06-01 00:00:00,1,18.08,2,N,132,230,2,52,4.5,0.5,0,5.76,0.3,63.06
