VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

1,2017-11-01 00:01:48,2017-11-01 00:03:47,1,.40,1,N,151,151,2,3.5,0.5,0.5,0,0,0.3,4.8
1,2017-11-01 00:18:22,2017-11-01 00:40:32,1,4.80,1,N,142,144,1,17.5,0.5,0.5,2,0,0.3,20.8
1,2017-11-01 00:01:58,2017-11-01 00:15:57,1,3.70,1,N,151,140,1,14,0.5,0.5,3.05,0,0.3,18.35
1,2017-11-01 00:18:53,2017-11-01 00:25:23,1,1.90,1,N,140,233,1,7.5,0.5,0.5,1.32,0,0.3,10.12
1,2017-11-01 00:28:56,2017-11-01 00:38:22,1,2.00,1,N,229,50,1,9,0.5,0.5,2,0,0.3,12.3
1,2017-11-01 00:40:35,2017-11-01 00:46:34,1,1.70,1,N,50,68,1,7,0.5,0.5,2.45,0,0.3,10.75
1,2017-11-01 00:33:27,2017-11-01 00:33:34,1,.00,1,N,264,264,2,2.5,0.5,0.5,0,0,0.3,3.8
1,2017-11-01 00:34:16,2017-11-01 00:34:25,1,.00,1,N,264,264,2,2.5,0.5,0.5,0,0,0.3,3.8
