VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

1,2018-02-01 00:01:58,2018-02-01 00:04:03,1,.00,1,N,145,145,2,3.5,0.5,0.5,0,0,0.3,4.8
1,2018-02-01 00:56:48,2018-02-01 00:57:42,1,2.90,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8
1,2018-02-01 00:04:42,2018-02-01 00:19:32,1,5.80,1,N,236,119,2,18.5,0.5,0.5,0,0,0.3,19.8
1,2018-02-01 00:38:10,2018-02-01 00:40:16,1,.30,1,N,82,82,2,3.5,0.5,0.5,0,0,0.3,4.8
1,2018-02-01 00:43:03,2018-02-01 00:59:26,2,2.60,1,N,82,7,1,13,0.5,0.5,1,0,0.3,15.3
2,2018-02-01 00:04:35,2018-02-01 00:23:09,1,5.95,1,N,231,80,1,20.5,0.5,0.5,5.45,0,0.3,27.25
2,2018-02-01 00:38:19,2018-02-01 00:58:12,1,4.53,1,N,145,56,2,17.5,0.5,0.5,0,0,0.3,18.8
2,2018-02-01 00:04:42,2018-02-01 23:54:28,1,1.19,1,N,229,161,2,7.5,0.5,0.5,0,0,0.3,8.8
