VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

1,2017-08-01 00:29:45,2017-08-01 00:29:51,1,.00,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8
1,2017-08-01 00:06:34,2017-08-01 00:19:23,2,1.20,1,N,140,237,1,9,0.5,0.5,3.33,0,0.3,13.63
1,2017-08-01 00:07:46,2017-08-01 00:14:51,1,3.80,1,N,223,70,2,12.5,0.5,0.5,0,0,0.3,13.8
1,2017-08-01 00:16:03,2017-08-01 00:35:36,1,3.30,1,N,79,230,2,14,0.5,0.5,0,0,0.3,15.3
1,2017-08-01 00:21:14,2017-08-01 00:22:40,1,.50,1,N,162,237,2,3.5,0.5,0.5,0,0,0.3,4.8
1,2017-08-01 00:36:27,2017-08-01 00:39:26,1,.50,1,N,164,170,1,4,0.5,0.5,0.7,0,0.3,6
1,2017-08-01 00:30:39,2017-08-01 00:49:31,2,4.70,1,N,138,196,1,20,0.5,0.5,0,0,0.3,21.3
2,2017-08-01 00:19:00,2017-08-01 00:23:27,1,.61,1,N,90,68,2,4.5,0.5,0.5,0,0,0.3,5.8
