VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

2,2017-02-03 02:03:50,2017-02-03 02:20:55,1,3.29,1,N,87,246,1,14,0,0.5,1.5,0,0.3,16.3
2,2017-02-03 02:26:04,2017-02-03 02:46:47,1,2.80,1,N,68,239,2,15,0,0.5,0,0,0.3,15.8
2,2017-02-03 02:49:51,2017-02-03 09:56:17,1,.90,1,N,239,43,1,6,0,0.5,1.36,0,0.3,8.16
2,2017-02-03 04:41:54,2017-02-03 04:52:41,1,.72,1,N,163,230,1,8,0,0.5,1.76,0,0.3,10.56
2,2017-02-03 04:57:38,2017-02-03 12:16:14,1,1.10,1,N,186,230,1,11,0,0.5,3.54,0,0.3,15.34
2,2017-02-21 14:50:07,2017-02-21 15:03:08,1,.93,1,N,141,162,2,9,0,0.5,0,0,0.3,9.8
2,2017-02-21 23:23:09,2017-02-21 23:26:18,6,.84,1,N,234,68,1,5,0.5,0.5,0.88,0,0.3,7.18
2,2017-02-21 23:28:20,2017-02-21 23:39:56,6,2.01,1,N,249,161,1,10,0.5,0.5,2.82,0,0.3,14.12
