VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

1,2018-08-01 00:44:35,2018-08-01 01:03:22,1,5.60,1,N,238,79,1,19,0.5,0.5,4,0,0.3,24.3
1,2018-08-01 00:02:19,2018-08-01 00:02:31,1,.00,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8
1,2018-08-01 00:13:25,2018-08-01 00:24:40,1,2.90,1,N,138,7,1,11.5,0.5,0.5,2.55,0,0.3,15.35
1,2018-08-01 00:10:37,2018-08-01 00:49:10,1,8.40,1,N,231,7,1,30,0.5,0.5,7.8,0,0.3,39.1
1,2018-08-01 00:02:18,2018-08-01 00:07:32,2,.70,1,N,79,148,1,5.5,0.5,0.5,0,0,0.3,6.8
1,2018-08-01 00:22:51,2018-08-01 00:55:23,2,6.70,1,N,114,7,1,25.5,0.5,0.5,4.02,0,0.3,30.82
1,2018-08-01 00:02:52,2018-08-01 00:15:50,1,4.50,1,N,132,205,2,14.5,0.5,0.5,0,0,0.3,15.8
1,2018-08-01 00:57:29,2018-08-01 01:26:37,1,16.80,2,N,132,162,1,52,0,0.5,14.6,5.76,0.3,73.16
