VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

1,2018-07-01 00:28:09,2018-07-01 00:28:51,1,5.30,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8
1,2018-07-01 00:29:27,2018-07-01 00:30:17,1,5.30,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8
1,2018-07-01 00:04:19,2018-07-01 00:08:29,2,.70,1,N,211,144,1,5,0.5,0.5,1.25,0,0.3,7.55
1,2018-07-01 00:14:26,2018-07-01 00:36:35,1,4.80,1,N,144,142,1,18,0.5,0.5,1,0,0.3,20.3
1,2018-07-01 00:41:56,2018-07-01 00:50:54,1,1.80,1,N,142,141,2,8.5,0.5,0.5,0,0,0.3,9.8
1,2018-07-01 00:57:02,2018-07-01 01:00:55,2,1.60,1,N,263,74,1,6.5,0.5,0.5,1.55,0,0.3,9.35
1,2018-07-01 00:04:29,2018-07-01 00:11:29,1,1.10,1,N,229,161,1,6.5,0.5,0.5,1.5,0,0.3,9.3
1,2018-07-01 00:23:26,2018-07-01 00:39:20,1,4.00,1,N,43,116,2,15,0.5,0.5,0,0,0.3,16.3
