VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

1,2017-10-01 00:01:50,2017-10-01 00:14:13,1,2.00,1,N,142,233,2,10,0.5,0.5,0,0,0.3,11.3
1,2017-10-01 00:02:43,2017-10-01 00:08:35,2,2.30,1,N,142,166,1,8,0.5,0.5,1.85,0,0.3,11.15
1,2017-10-01 00:12:08,2017-10-01 00:25:49,3,2.80,1,N,151,262,1,13,0.5,0.5,1.72,0,0.3,16.02
2,2017-10-01 00:00:25,2017-10-01 00:11:24,1,1.97,1,N,100,229,1,9.5,0.5,0.5,1,0,0.3,11.8
2,2017-10-01 00:15:30,2017-10-01 00:25:11,1,2.17,1,N,141,142,1,9,0.5,0.5,2.06,0,0.3,12.36
1,2017-10-01 00:27:42,2017-10-01 00:35:36,1,.50,1,N,68,158,2,6,0.5,0.5,0,0,0.3,7.3
1,2017-10-01 00:39:19,2017-10-01 00:50:09,1,1.50,1,N,158,100,1,8.5,0.5,0.5,1.95,0,0.3,11.75
1,2017-10-01 00:53:25,2017-10-01 01:10:02,1,5.30,1,N,230,88,2,17,0.5,0.5,0,0,0.3,18.3
