VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

2,2017-03-09 21:30:11,2017-03-09 21:44:20,1,4.06,1,N,148,48,1,14,0.5,0.5,3.06,0,0.3,18.36
2,2017-03-09 21:47:00,2017-03-09 21:58:01,1,2.73,1,N,48,107,2,11.5,0.5,0.5,0,0,0.3,12.8
2,2017-03-09 22:01:08,2017-03-09 22:11:16,1,2.27,1,N,79,162,1,10,0.5,0.5,2.82,0,0.3,14.12
2,2017-03-09 22:16:05,2017-03-10 06:26:11,1,3.86,1,N,237,41,1,12,0.5,0.5,3.99,0,0.3,17.29
2,2017-03-31 06:31:53,2017-03-31 06:41:48,1,3.45,1,N,41,162,2,12,0.5,0.5,0,0,0.3,13.3
1,2017-03-01 00:00:00,2017-03-01 00:14:22,1,2.80,1,N,261,79,1,12.5,0.5,0.5,1,0,0.3,14.8
1,2017-03-01 00:00:00,2017-03-01 00:19:30,1,6.00,1,N,87,142,1,19.5,0.5,0.5,3.5,0,0.3,24.3
1,2017-03-01 00:00:00,2017-03-01 00:34:27,1,8.70,1,N,142,181,1,30,0.5,0.5,7.8,0,0.3,39.1
