VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

1,2018-05-01 00:13:56,2018-05-01 00:22:46,1,1.60,1,N,230,50,1,8,0.5,0.5,1.85,0,0.3,11.15
1,2018-05-01 00:23:26,2018-05-01 00:29:56,1,1.70,1,N,263,239,1,7.5,0.5,0.5,2,0,0.3,10.8
1,2018-05-01 00:36:23,2018-05-01 00:48:26,2,2.60,1,N,239,152,1,12,0.5,0.5,1,0,0.3,14.3
1,2018-05-01 00:26:12,2018-05-01 00:27:05,1,.00,1,N,145,145,1,2.5,0.5,0.5,9.63,0,0.3,13.43
1,2018-05-01 00:29:51,2018-05-01 00:30:02,1,.00,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8
1,2018-05-01 00:05:31,2018-05-01 00:11:35,1,1.90,1,N,138,223,2,8,0.5,0.5,0,0,0.3,9.3
1,2018-05-01 00:32:59,2018-05-01 00:46:43,1,3.30,1,N,114,229,1,12.5,0.5,0.5,2.75,0,0.3,16.55
1,2018-05-01 00:49:13,2018-05-01 00:54:21,1,1.80,1,N,162,236,1,7,0.5,0.5,2.05,0,0.3,10.35
