VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

1,2017-04-01 00:00:00,2017-04-01 00:15:07,1,1.80,1,N,158,113,2,10.5,0.5,0.5,0,0,0.3,11.8
1,2017-04-01 00:00:00,2017-04-01 00:16:23,3,3.70,1,N,87,158,2,14.5,0.5,0.5,0,0,0.3,15.8
2,2017-04-01 00:00:00,2017-04-01 10:20:01,1,.00,1,N,264,193,1,0,0,0,0,0,0,0
1,2017-04-01 00:00:01,2017-04-01 00:37:05,2,3.30,1,N,230,4,1,23.5,0.5,0.5,4.95,0,0.3,29.75
1,2017-04-01 00:00:01,2017-04-01 00:02:56,1,.70,1,N,142,143,2,4.5,0.5,0.5,0,0,0.3,5.8
1,2017-04-01 00:00:01,2017-04-01 00:07:28,1,2.20,1,N,170,263,1,8.5,0.5,0.5,2.45,0,0.3,12.25
1,2017-04-01 00:00:01,2017-04-01 00:08:30,1,.70,1,N,100,48,1,7,0.5,0.5,1.65,0,0.3,9.95
1,2017-04-01 00:00:01,2017-04-01 00:02:40,1,.40,1,N,166,166,2,4,0.5,0.5,0,0,0.3,5.3
