VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

1,2017-09-01 00:17:17,2017-09-01 00:18:49,1,.40,1,N,161,161,1,3.5,0.5,0.5,0,0,0.3,4.8
1,2017-09-01 00:22:08,2017-09-01 00:25:22,2,.90,1,N,164,234,1,5,0.5,0.5,1.25,0,0.3,7.55
2,2017-09-01 00:30:43,2017-09-01 00:33:47,1,.52,1,N,193,193,2,4,0.5,0.5,0,0,0.3,5.3
1,2017-09-01 00:37:57,2017-09-01 00:42:24,1,1.50,1,N,246,50,2,6,0.5,0.5,0,0,0.3,7.3
1,2017-09-01 00:15:56,2017-09-01 00:28:28,1,1.30,1,N,143,143,4,9.5,0.5,0.5,0,0,0.3,10.8
1,2017-09-01 00:58:35,2017-09-01 01:07:09,1,1.50,1,N,50,143,1,8,0.5,0.5,2,0,0.3,11.3
1,2017-09-01 00:00:13,2017-09-01 00:07:39,1,1.60,1,N,163,186,2,8,0.5,0.5,0,0,0.3,9.3
1,2017-09-01 00:32:30,2017-09-01 00:36:03,1,.70,1,N,163,162,2,5,0.5,0.5,0,0,0.3,6.3
