VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

2,2017-05-18 00:36:42,2017-05-18 00:38:41,6,.43,1,N,236,236,2,3.5,1,0.5,0,0,0.3,5.3
1,2017-05-01 00:00:00,2017-05-01 00:25:18,1,17.10,2,N,132,141,1,52,0,0.5,10.55,0,0.3,63.35
1,2017-05-01 00:00:00,2017-05-01 00:22:42,1,9.90,1,N,138,50,1,29,0.5,0.5,7.2,5.76,0.3,43.26
2,2017-05-01 00:00:00,2017-05-01 00:27:42,1,4.40,1,N,48,7,2,19.5,0.5,0.5,0,0,0.3,20.8
2,2017-05-01 00:00:00,2017-05-01 00:00:00,1,1.81,1,N,186,233,2,18,0,0.5,0,0,0.3,18.8
2,2017-05-01 00:00:00,2017-05-01 15:38:37,2,.00,5,N,264,142,1,60,0,0,0,0,0,60
1,2017-05-01 00:00:01,2017-05-01 00:16:31,1,3.60,1,N,211,161,2,15,0.5,0.5,0,0,0.3,16.3
1,2017-05-01 00:00:01,2017-05-01 00:09:58,1,1.80,1,N,48,229,2,9,0.5,0.5,0,0,0.3,10.3
