VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

1,2018-09-01 00:01:35,2018-09-01 00:09:48,2,1.50,1,N,161,107,1,7.5,0.5,0.5,0,0,0.3,8.8
1,2018-09-01 00:22:22,2018-09-01 00:28:55,1,1.00,1,N,233,100,1,6.5,0.5,0.5,2,0,0.3,9.8
1,2018-09-01 00:38:10,2018-09-01 00:44:42,1,1.00,1,N,164,163,2,6.5,0.5,0.5,0,0,0.3,7.8
1,2018-09-01 00:46:36,2018-09-01 00:54:49,1,1.90,1,N,48,140,1,8.5,0.5,0.5,1,0,0.3,10.8
1,2018-09-01 00:59:46,2018-09-01 01:02:41,1,.60,1,N,262,263,1,4.5,0.5,0.5,1.15,0,0.3,6.95
1,2018-09-01 00:01:46,2018-09-01 00:01:51,1,.90,1,Y,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8
1,2018-09-01 00:04:40,2018-09-01 00:05:45,1,.90,1,Y,145,145,2,3,0.5,0.5,0,0,0.3,4.3
1,2018-09-01 00:06:55,2018-09-01 00:07:01,1,.90,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8
