VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

1,2018-10-01 00:23:34,2018-10-01 00:44:50,1,6.20,1,N,68,7,2,20.5,0.5,0.5,0,0,0.3,21.8
1,2018-10-01 00:40:05,2018-10-01 01:01:56,1,12.60,1,N,132,9,2,35,0.5,0.5,0,0,0.3,36.3
1,2018-10-01 00:05:35,2018-10-01 00:19:38,1,6.10,1,N,50,244,1,19,0.5,0.5,5.05,0,0.3,25.35
1,2018-10-01 00:42:56,2018-10-01 00:49:00,1,1.30,1,N,151,239,2,7,0.5,0.5,0,0,0.3,8.3
1,2018-10-01 00:19:14,2018-10-01 00:31:54,1,2.60,1,N,233,143,1,11,0.5,0.5,2.45,0,0.3,14.75
1,2018-10-01 00:36:27,2018-10-01 01:39:20,1,19.70,1,N,132,7,3,54,0.5,0.5,0,0,0.3,55.3
1,2018-10-01 00:26:25,2018-10-01 00:34:58,1,2.30,1,N,260,145,2,9,0.5,0.5,0,0,0.3,10.3
2,2018-10-01 00:11:13,2018-10-01 00:40:02,1,19.14,2,N,132,249,1,52,0,0.5,11.71,5.76,0.3,70.27
