場所名稱,住址
連江縣政府,連江縣南竿鄉介壽村76號3樓
連江縣立醫院,連江縣南竿鄉復興村217號1樓
連江縣民俗文物館,連江縣南竿鄉清水村135號3樓
交通部民用航空局南竿航空站,連江縣南竿鄉復興村220號
連江縣港務處北竿港務站,連江縣北竿鄉白沙村72號
交通部民用航空局北竿航空站,連江縣北竿鄉塘岐村261號
基隆市政府,基隆市中正區義一路1
基隆市文化局,基隆市中正區信一路181
基隆市立醫院門診中心,基隆市中正區義二路2巷6
臺灣港務股份有限公司基隆港務分公司,基隆市中正區中正路11
基隆市中正區衛生所,基隆市中正區中正路786-1
國立海洋科技博物館1. 主題館*62. 海洋劇場館*23. 探索館*1,基隆市中正區北寧路3671. 1.3.5.7樓2. 1、2樓3. 3樓
七堵區公所,基隆市七堵區光明路212.3
內政部警政署保安警察第三總隊第一大隊,基隆市七堵區南光街23
基隆市七堵區衛生所,基隆市七堵區光明路211
交通部公路總局臺北區監理所基隆監理站,基隆市七堵區實踐路296
基隆市暖暖區衛生所,基隆市暖暖區暖暖街281巷98
財政部基隆關稅局,基隆市仁愛區港西街6
基隆市仁愛區衛生所,基隆市仁愛區光一路26
基隆市地方法院檢察署,基隆市信義區東信路178
基隆市地方法院,基隆市信義區東信路178
衛生福利部基隆醫院,基隆市信義區信仁路268
基隆市立醫院(院本部),基隆市信義區東信路282
基隆市立游泳池,基隆市信義區信二路40-1
基隆市中山區衛生所,基隆市中山區中山二路15
基隆市消防局,基隆市安樂區基金一路129巷6
基隆市稅務局,基隆市安樂區安樂路2162
基隆市安樂區地政事務所,基隆市安樂區安樂路21644
基隆市政府社會處-婦幼福利服務中心,基隆市安樂區麥金路4821
基隆市安樂區衛生所,基隆市安樂區安樂路21641前棟
基隆市環保局行政大樓,基隆市信義區東光路253
信義區公所,基隆市信義區信二路1794
基隆市衛生局,基隆市信義區信二路2661
基隆市信義區衛生所,基隆市信義區信一路69
台灣港務股份有限公司 基隆分公司,基隆市仁愛區港西街6
台灣電力公司營運處,基隆市仁愛區仁一路301
中華郵政股份有限公司基隆郵局,基隆市仁愛區愛三路130
交通部台灣鐵路管理局台北運務段七堵站,基隆市七堵區東新街2-1
交通部台灣鐵路管理局基隆站,基隆市仁愛區港西街5
交通部臺灣鐵路管理局臺北運務段八堵站,基隆市暖暖區八堵路142
遠百企業股份有限公司基隆分公司,基隆市信義區深溪路53B1
基隆長榮桂冠酒店,基隆市中正區中正路62之1號6樓(健身房)
屏東縣政府消防局,屏東縣屏東市和興里忠孝路226號6樓
台電屏東區處服務中心,屏東縣屏東市和興里忠孝路329號1樓
屏東縣榮民服務處,屏東縣屏東市建國路300-1號2樓
水利署第七河川局,屏東縣屏東市建國路291號1樓
屏東就業服務中心,屏東縣屏東市永安里復興路446號2樓
屏東地方法院,屏東縣屏東市永安里棒球路9號2樓
屏東地方法院檢察署,屏東縣屏東市永安里棒球路11號2樓
屏東市衛生所,屏東縣屏東市厚生里建國路92號1樓
屏東藝術館,屏東縣屏東市和平路427號3樓
中央健保局,屏東縣屏東市廣東路1518號2樓
家樂福,屏東縣屏東市仁愛路188號2樓、地下1樓
稅務局,屏東縣屏東市北平路24號2樓
屏東縣政府衛生局,屏東縣屏東市自由路272號1樓
介壽圖書館,屏東縣屏東市公園路24-1號1樓
衛生福利部屏東醫院,屏東縣屏東市自由路270號1樓
屏東國有財產局,屏東縣屏東市林森路48號1樓
屏東社福館,屏東縣屏東市華正路97號1樓
屏東環保局,屏東縣屏東市自由路271號3樓
屏東郵政總局,屏東縣屏東市民生路250號4樓
屏東勞工處,屏東縣屏東市建國里自由路17號3樓
復興圖書館,屏東縣屏東市劍南路162號1樓
屏東台糖量販店,屏東縣屏東市台糖街3號B1
