場所名稱,住址
高雄市政府客家事務委員會美濃客家文物館,高雄市美濃區廣德里民族路49之3號
高雄市美濃區衛生所,高雄市美濃區合和里美中路246號
高雄市美濃區公所,高雄市美濃區合和里美中路260號
高雄市立圖書館美濃分館,高雄市美濃區泰安里中正路1段59號
高雄市茄萣區衛生所,高雄市茄萣區吉定里濱海路2段1號
高雄市茄萣區公所,高雄市茄萣區白雲里濱海路4段27號
高雄市立圖書館茄萣分館,高雄市茄萣區白雲里24濱海路4段31巷1號
遠東百貨公司(大遠百),高雄市苓雅區三多四路21號
高雄市立文化中心,高雄市苓雅區五福一路67號
高雄市政府四維行政中心,高雄市苓雅區四維三路2號
高雄市苓雅區公所,高雄市苓雅區民權一路85號4樓
高雄市苓雅區衛生所,高雄市苓雅區民權一路85號3樓
高雄市國稅局苓雅稽徵所,高雄市苓雅區民權一路85號7樓
高雄市區監理所苓雅監理站,高雄市苓雅區安康路22號
大統百貨公司,高雄市苓雅區和平一路218號
特力屋大順店,高雄市苓雅區武廟路218號
國軍高雄總醫院,高雄市苓雅區建軍路5號
高雄市政府警察局苓雅分局,高雄市苓雅區苓雅一路367號
高雄市立凱旋醫院,高雄市苓雅區凱旋二路130號
高雄市政府衛生局,高雄市苓雅區凱旋二路132號
高雄市立民生醫院,高雄市苓雅區凱旋二路134號
財政部高雄市國稅局,高雄市苓雅區廣州一街148號
高雄市立圖書館高雄市文化中心分館,高雄市苓雅區五福一路67號
綺麗珊瑚珠寶公司,高雄市苓雅區意誠5自強三路7號1樓
寒軒國際大飯店,高雄市苓雅區普照10四維三路33號
君鴻國際酒店,高雄市苓雅區意誠17自強三路1號37至85樓
麗尊大酒店,高雄市苓雅區林安5五福一路105號
高雄市梓官區公所,高雄市梓官區梓義里梓官路258號
高雄市立圖書館梓官分館,高雄市梓官區梓義里梓官路263號
高雄市立圖書館鳥松分館,高雄市鳥松區大仁北路10號
樺舍商旅高雄館演藝廳,高雄市鳥松區大埤路117號
高雄市政府勞工局訓練就業中心,高雄市鳥松區大埤路117號1樓
澄清湖風景區(經濟部自來水公司),高雄市鳥松區大埤路32號
高雄市鳥松區公所,高雄市鳥松區中正路98號
高雄市政府環保局,高雄市鳥松區澄清路834-1號
高雄市湖內區公所,高雄市湖內區中正路2段77號
高雄市立圖書館湖內分館,高雄市湖內區保生路101號
海埔國小,高雄市湖內區海埔里忠孝街256號
高雄市立圖書館新興分館,高雄市新興區中正三路34號3樓
高雄捷運美麗島轉運站,高雄市新興區新興區中山一路115號地下1樓
高雄市立圖書館新興民眾閱覽室,高雄市新興區民生一路271號
郵政總局,高雄市新興區中正三路177號
國有財產屬南區分署,高雄市新興區中正三路25號18樓
家樂福楠梓店,高雄市楠梓區藍田路288號
高雄市路竹區公所,高雄市路竹區國昌路76號
高雄市立圖書館路竹分館,高雄市路竹區國昌路86巷9號
高雄市政府社會局委託嘉藥學校財團法人嘉南藥理大學辦理高雄市路竹公共托嬰中心,高雄市路竹區中正路51號
高雄市路竹區衛生所,高雄市路竹區國昌路86巷22號
好市多大順店,高雄市鼓山區大順一路111號1樓
高雄市立聯合醫院,高雄市鼓山區中華一路976號1樓
台灣高等法院高雄分院,高雄市鼓山區明誠三路586號1樓
高雄市立美術館,高雄市鼓山區美術館路80號地下1樓
關稅局,高雄市鼓山區捷興一街3號4樓
高雄市壽山動物園,高雄市鼓山區萬壽路350號入園區處
高雄市鼓山區公所,高雄市鼓山區鼓山二路166號3樓
高雄市立圖書館鼓山分館,高雄市鼓山區鼓山二路19之3號1樓
衛生福利部旗山醫院,高雄市旗山區中學路60號
高雄市旗山區社會福利服務中心,高雄市旗山區中正路199號
高雄市立旗津醫院(委託財團法人私立高雄醫學大學經營),高雄市旗津區旗港路33號2樓
高雄市旗津區戶政事務所,高雄市旗津區旗津三路2號1樓
高雄市政府社會局婦幼青少年館,高雄市鳳山區光復路2段120號2
高雄市政府社會局婦幼青少年館(正修科大指導托嬰中心),高雄市鳳山區光復路2120號1
家樂福鳳山店,高雄市鳳山區中山西路236號
大潤發鳳山店,高雄市鳳山區文化路59號
高雄市政府鳳山行政中心,高雄市鳳山區光復路2段132號
高雄市立圖書館大東藝術圖書館,高雄市鳳山區光遠路161號
高雄市立圖書館鳳山二館,高雄市鳳山區(二)自強一路119巷75號
高雄市鳳山區第二衛生所,高雄市鳳山區(二)林森路141號
高雄市鳳山區第二戶政事務所,高雄市鳳山區(二)五甲二路472號
家樂福五甲店,高雄市鳳山區(二)林森路291號
交通部公路總局高雄區監理所,高雄市鳳山區(二)武營路361號
衛武營國家公園,高雄市鳳山區(二)輜汽路281號
東區稅捐處鳳山分處,高雄市鳳山區國泰路2段136號
高雄市立圖書館鳳山曹公分館,高雄市鳳山區曹公路23號
高雄市國稅局鳳山分局,高雄市鳳山區曹公路55之1號
高雄市鳳山區公所,高雄市鳳山區經武路30號
高雄市鳳山區衛生所,高雄市鳳山區經武路34巷2號
高雄市立圖書館中崙分館,高雄市鳳山區(二)保安里中崙五路1號
台灣電力股份有限公司鳳山區營業處,高雄市鳳山區鳳山區青年路1段100號
高雄市橋頭區公所,高雄市橋頭區橋頭里隆豐路1號
高雄市立圖書館橋頭分館,高雄市橋頭區橋頭里隆豐路7號
台灣糖業股份有限公司高雄區處,高雄市橋頭區橋南里糖廠路24號
高雄市橋頭區衛生所,高雄市橋頭區橋頭里隆豐路5號
高雄市燕巢區公所,高雄市燕巢區安招里中安路1號
行政院國軍退除役官兵輔導委員會岡山榮譽國民之家,高雄市燕巢區安招里成功路1號
高雄市立圖書館燕巢分館,高雄市燕巢區西燕里中民路592號
高雄市燕巢區衛生所,高雄市燕巢區南燕里中興路2號
高雄市社會局仁愛之家,高雄市燕巢區深水里深水路1號
法務部矯正署高雄第二監獄,高雄市燕巢區橫山里正德新村1號
法務部矯正署戒治所,高雄市燕巢區橫山里正德新村5號
法務部矯正署明陽中學,高雄市燕巢區橫山里正德新村六號
高雄市立圖書館彌陀公園分館,高雄市彌陀區中正路281巷50號
高雄市立圖書館彌陀分館,高雄市彌陀區四維路1之1號
高雄市立歷史博物館,高雄市鹽埕區中正四路272號
高雄市立電影圖書館,高雄市鹽埕區河西路10號
駁二藝術特區,高雄市鹽埕區大勇路1號
國際會議中心,高雄市鹽埕區中正四路274號
高雄市那瑪夏區衛生所,高雄市那瑪夏區瑪雅里6平和252號
高雄市那瑪夏區公所,高雄市那瑪夏區達卡努瓦里4大光巷230
桃園監理站,桃園市桃園區介壽路416號
桃園區戶政事務所,桃園市桃園區國豐三街123號
桃園區地政事務所,桃園市桃園區國豐三街123號
臺北榮民總醫院桃園分院,桃園市桃園區成功路3段100號
桃園區衛生所,桃園市桃園區國豐三街123號4樓
桃園市北區老人文康活動中心,桃園市桃園區公園路129號
桃園區公所,桃園市桃園區縣府路7號
桃園市政府秘書處,桃園市桃園區縣府路1號
桃園市政府文化局,桃園市桃園區縣府路21號
桃園市地方稅務局,桃園市桃園區成功路2段179號
法務部矯正署桃園監獄,桃園市桃園區延壽街158號
財政部北區國稅局,桃園市桃園區三元街150號
衛生福利部桃園醫院,桃園市桃園區中山路1492號醫療大樓4樓門診大樓2樓
桃園市桃園勞工育樂中心,桃園市桃園區縣府路59號
衛生福利部桃園療養院,桃園市桃園區龍壽71號
行政院農委會農糧署北區分署,桃園市桃園區大同路111號
臺灣桃園地方法院院本部區,桃園市桃園區法治路1號
台灣自來水股份有限公司第二區管理處桃園服務所,桃園市桃園區中山路291號
台灣電力股份有限公司桃園區營業處,桃園市桃園區復興路352號
中華郵政股份有限公司桃園成功路郵局,桃園市桃園區成功路1段51號
交通部臺灣鐵路管理局桃園站,桃園市桃園區中正路1號
新光三越百貨股份有限公司桃園站前分公司,桃園市桃園區中正路19號
統領百貨股份有限公司桃園分公司,桃園市桃園區中正路61號
新光三越百貨股份有限公司大有分公司,桃園市桃園區大有路189號
遠東百貨股份有限公司桃園分公司,桃園市桃園區中正路20號
遠百企業股份有限公司桃園分公司,桃園市桃園區中山路939號
家福股份有限公司桃園春日分公司,桃園市桃園區春日路1593號
家福股份有限公司經國分公司,桃園市桃園區經國路369號
IKEA宜家家居,桃園市桃園區中山路958號
桃園市南區老人文康活動中心,桃園市中壢區林森路90號
中壢區公所,桃園市中壢區環北路380號
地方稅務局中壢分局,桃園市中壢區普義里溪洲街296號3樓
財政部北區國稅局中壢稽徵所,桃園市中壢區中平路115號
桃園市榮民服務處,桃園市中壢區中山東路2段375號
交通部臺灣鐵路管理局中壢站,桃園市中壢區石頭里中和路139號
台灣高速鐵路股份有限公司桃園站,桃園市中壢區高鐵北路1段
國1高速公路中壢服務區,桃園市中壢區內定里20鄰內定二街998之3號
太平洋崇光百貨股份有限公司中壢分公司,桃園市中壢區元化路357號
大江工商綜合區,桃園市中壢區中園路2段501號
家福股份有限公司桃園內壢分公司,桃園市中壢區1段450號B1-2樓
,桃園市中壢區中山東路2段510號
家福股份有限公司中原分公司,桃園市中壢區中華路2段501號
好市多中壢店,桃園市中壢區民族路6段508號
華泰大飯店企業股份有限公司華泰名品城分公司,桃園市中壢區春德路189號
八德區地政事務所,桃園市八德區重慶街146號
八德區公所,桃園市八德區中山路47號
大湳公有零售市場,桃園市八德區廣福路116巷10號2樓
八德公有零售市場,桃園市八德區建國路45號
大潤發流通事業股份有限公司八德分公司,桃園市八德區介壽路2段148號
廣豐新天地購物中心,桃園市八德區介壽路一段728號
平鎮區地政事務所,桃園市平鎮區環南路2段276號
平鎮區公所,桃園市平鎮區振興路5號
桃園市平鎮區立圖書館,桃園市平鎮區環南路3段88號
南區青年活動中心,桃園市平鎮區延平路1段168號
台灣自來水股份有限公司第二區管理處中壢服務所,桃園市平鎮區延平路1段26號
特力屋平鎮店,桃園市平鎮區新富里環南路2段261號
大潤發流通事業股份有限公司平鎮分公司,桃園市平鎮區南東路57號
家福股份有限公司平鎮分公司,桃園市平鎮區坤慶路1號
大園區戶政事務所,桃園市大園區中山北路162號
大園區公所,桃園市大園區中正西路12號
桃園國際機場股份有限公司 第一航廈,桃園市大園區航站南路9號
桃園國際機場股份有限公司 第二航廈,桃園市大園區航站南路10號
蘆竹區衛生所,桃園市蘆竹區長安路2段238號
蘆竹區公所,桃園市蘆竹區南崁路150號
蘆竹區地政事務所,桃園市蘆竹區長安路2段236號1-3樓
蘆竹區戶政事務所,桃園市蘆竹區長安路2段236號1-3樓
台茂工商綜合區,桃園市蘆竹區南崁路1段112號
特力家居南崁店,桃園市蘆竹區中正路1號
好市多桃園店,桃園市蘆竹區南崁路1段369號
新屋區戶政事務所,桃園市新屋區中山路241號3樓
新屋區衛生所,桃園市新屋區中山路239號1樓
新屋區公所,桃園市新屋區中山路265號1樓
觀音區衛生所,桃園市觀音區觀新路58號1樓
觀音區戶政事務所,桃園市觀音區觀和路28號1樓
觀音區公所,桃園市觀音區中山路8號
龜山區衛生所,桃園市龜山區自強南路103號
龜山區公所,桃園市龜山區中山路16號
法務部矯正署臺北監獄(會客室),桃園市龜山區宏德新村2號
台灣中油股份有限公司煉製事業部桃園煉油廠,桃園市龜山區民生北路1段50號
桃園A8 環球購物中心,桃園市龜山區復興一路8號　
龍潭區公所,桃園市龍潭區中正路210號
龍潭區婦幼館,桃園市龍潭區干城路19巷30號
客家事務局,桃園市龍潭區中正路三林段500號
法務部矯正署桃園女子監獄行政大樓,桃園市龍潭區富林村中正路三林段617號
桃園市石門山勞工育樂中心,桃園市龍潭區三林里3鄰清水坑22-2號
大溪區戶政事務所,桃園市大溪區康莊路181號4樓
大溪區地政事務所,桃園市大溪區康莊路95號
大溪區衛生所,桃園市大溪區仁愛路1號2樓哺乳室
大溪區公所,桃園市大溪區普濟路11號
地方稅務局大溪分局,桃園市大溪區員林路1段16號2樓
財政部北區國稅局大溪稽徵所,桃園市大溪區員林路1段16號4樓
原住民會館,桃園市大溪區員林路1段29巷
楊梅區戶政事務所,桃園市楊梅區校前路409號3樓
楊梅區地政事務所,桃園市楊梅區永寧里校前路411號
楊梅區衛生所,桃園市楊梅區永寧里校前路409號
楊梅區公所,桃園市楊梅區楊江里大成路2號
財政部北區國稅局楊梅稽徵所,桃園市楊梅區中山北路2段318號
桃園市楊梅區茶葉改良場,桃園市楊梅區埔心里中興路324號
勞動部勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號
台灣自來水股份有限公司第二區管理處楊梅服務所,桃園市楊梅區大同里楊新路18巷2號
遠百企業股份有限公司楊梅分公司,桃園市楊梅區中山北路2段23巷6號
復興區公所,桃園市復興區中正路20號
三軍總醫院澎湖分院附設民眾診療服務處,澎湖縣馬公市前寮里90號
衛生福利部澎湖醫院,澎湖縣馬公市中正路10號
交通部觀光局澎湖國家風景區管理處南海遊客中心,澎湖縣馬公市新營路25號
交通部觀光局澎湖國家風景區管理處澎湖遊客中心,澎湖縣馬公市光華里171號
財政部南區國稅局澎湖分局,澎湖縣馬公市新店路261號
國軍退除役官兵輔導委員會澎湖縣榮民服務處,澎湖縣馬公市案山里經國路111號
臺灣港務股份有限公司高雄港務分公司馬公管理處,澎湖縣馬公市臨海路36-1號
臺灣澎湖地方法院,澎湖縣馬公市西文里310號
臺灣澎湖地方法院檢察署,澎湖縣馬公市西文里309號
澎湖縣立體育場,澎湖縣馬公市西文里中華路238號
澎湖縣政府,澎湖縣馬公市治平路32號
澎湖縣兒童及少年福利服務中心,澎湖縣馬公市光榮里貿商街60號
澎湖縣政府文化局,澎湖縣馬公市中華路230號
澎湖縣圖書館,澎湖縣馬公市中華路236-1號
澎湖縣政府文化局演藝廳,澎湖縣馬公市中華路234號
澎湖縣政府文化局澎湖生活博物館,澎湖縣馬公市新生路327號
台灣電力股份有限公司澎湖區營業處,澎湖縣馬公市西文里120號
澎湖縣馬公市公所,澎湖縣馬公市永福街30號
交通部公路總局高雄區監理所澎湖監理站,澎湖縣馬公市光華里121號
衛生福利部澎湖老人之家,澎湖縣馬公市光華里123號
三號港,澎湖縣馬公市同和路158號
交通部觀光局澎湖國家風景區管理處北海遊客中心,澎湖縣白沙鄉赤崁村37-4號
交通部觀光局澎湖國家風景區管理處後寮遊客中心,澎湖縣白沙鄉後寮村104-18號
白沙鄉立圖書館,澎湖縣白沙鄉赤崁村368號
澎湖縣政府環境保護局,澎湖縣湖西鄉大城北6-1號
澎湖縣湖西鄉公所,澎湖縣湖西鄉湖西村43-11號
澎湖縣湖西鄉立圖書館,澎湖縣湖西鄉湖西村43-5號
交通部民用航空局馬公航空站,澎湖縣湖西鄉隘門村126-5號
交通部觀光局澎湖國家風景區管理處-吉貝遊客中心,澎湖縣白沙鄉吉貝村182-2號
西嶼西臺遊客中心,澎湖縣西嶼鄉外垵村1-6號
交通部觀光局澎湖國家風景區管理處望安鄉綠蠵龜觀光保育中心,澎湖縣望安鄉東安村1-4號
佳朋開發股份有限公司(澎湖福朋喜來登飯店),澎湖縣馬公市新店路197號
交通部公路總局新竹區監理所新竹市監理站,新竹市東區自由路10號
新竹市衛生局,新竹市東區中央路241號10~12樓
新竹市東區衛生所,新竹市東區民族路40-2號
新竹市東區區公所,新竹市東區民族路40號
新竹市東區戶政事務所,新竹市東區民族路40-1號
財政部北區國稅局新竹分局,新竹市東區北大路90之2號
新竹市稅務局,新竹市東區中央路112號
新竹市立動物園,新竹市東區博愛街111號
新竹市托育資源中心暨親子館,新竹市東區中央路241號3樓
新竹市文化局影像博物館,新竹市東區中正路65號
新竹市勞工育樂中心,新竹市東區田美三街2號
新竹市立體育場,新竹市東區公園路295號
新竹市立玻璃工藝博物館,新竹市東區東大路1段2號
國立新竹生活美學館,新竹市東區武昌街110號
新竹市美術館暨開拓館,新竹市東區中央路116號
交通部台灣鐵路管理局台北運務段新竹站,新竹市東區中華路2段445號
好市多股份有限公司新竹分公司,新竹市東區慈雲路188號1樓
大潤發流通事業股份有限公司新竹忠孝店,新竹市東區忠孝路300號
遠東百貨股份有限公司新竹分公司,新竹市東區西大路323號
遠百企業股份有限公司新竹分公司(遠百愛買),新竹市東區公道五路2段469號2樓
太平洋崇光百貨股份有限公司新竹分公司,新竹市東區民族路2號
新竹遠東巨城購物中心,新竹市東區中央路229號
新竹市立新科國民運動中心,新竹市東區光復路1段89巷90 號
新竹市婦女館,新竹市東區中央路241號8樓
晶品城購物廣場,新竹市東區林森路18號
國賓大飯店股份有限公司新竹分公司,新竹市東區中華路2段188號
新竹老爺酒店,新竹市東區光復路1段227號
新竹市警察局,新竹市北區中山路1號
新竹市北區衛生所(戶政事務所2樓)共用,新竹市北區國華街69號1、2樓
經濟部水利署第二河川局,新竹市北區北大路97號
新竹市文化局演藝廳,新竹市北區東大路2段17號
新竹市文化局圖書館,新竹市北區東大路2段15巷1號
新竹市政府,新竹市北區中正路120號
新竹市殯葬管理所,新竹市北區成德路132號
新竹市地政事務所,新竹市北區光華東街60號
新竹市消防局,新竹市北區西大路679號
法務部矯正署新竹監獄(內設置3間),新竹市北區延平路1段108號
法務部矯正署新竹看守所,新竹市北區延平路1段110號
內政部移民署中區事務大隊新竹市服務站,新竹市北區中華路3段12號
新竹市眷村博物館,新竹市北區東大路2段105號
大潤發流通事業股份有限公司新竹分公司,新竹市北區湳雅街91~99號2樓
大魯閣商場事業股份有限公司,新竹市北區湳雅街91-2號
新竹市香山衛生所,新竹市香山區育德街188號1樓
新竹市香山區公所,新竹市香山區育德街188號3樓
新竹市立香山游泳池,新竹市香山區頂埔路21號
新竹市香山戶政事務所,新竹市香山區育德街188號2樓
新竹市香山區托育資源中心暨親子館,新竹市香山區育德街188號親(1)樓
南投縣政府文化局圖書館,南投縣南投市三和里中興路669號
南投縣政府,南投縣南投市三和里中興路660號
台灣國家婦女館南投縣立婦幼館,南投縣南投市三興里南崗二路85號
南投縣政府文化局,南投縣南投市三興里建國路135號
南投縣政府警察局,南投縣南投市三興里南崗二路133號
衛生福利部南投醫院,南投縣南投市康壽里復興路478號
交通部公路總局台中區監理所南投監理站,南投縣南投市內興里中興路201號
行政院人事行政局地方行政研習中心,南投縣南投市光明里光明路1號
行政院衛生署中興醫院,南投縣南投市光華里環山路57號
內政部入出國及移民署南投縣服務站,南投縣南投市彰仁里文昌街87號1樓
南投縣南投市公所,南投縣南投市龍泉里玉井街5號
南投縣南投市市場管理所,南投縣南投市南投里民權街157號3樓
國史館臺灣文獻館,南投縣南投市光明里光明一路254號
台灣菸酒股份有限公司-南投酒廠展售中心,南投縣南投市軍功里東山路82號
家樂福南投店,南投縣南投市三和里三和三路21號
南投縣埔里鎮衛生所,南投縣埔里鎮北門里中山路2段256號
財政部台灣省中區國稅局埔里稽徵所,南投縣埔里鎮北門里中山路2段252號3、4樓
南投縣埔里鎮地政事務所,南投縣埔里鎮北門里中山路2段248號
臺中榮民總醫院埔里分院,南投縣埔里鎮蜈蚣里榮光路1號
南投縣埔里鎮立圖書館,南投縣埔里鎮北安里六合路178號
南投縣綜合身心障礙福利復健中心,南投縣埔里鎮北安里八德路17號
南投縣埔里鎮公所,南投縣埔里鎮北門里中山路2段239號
台灣菸酒股份有限公司-埔里酒廠展售中心,南投縣埔里鎮薰化里中山路3段219號
行政院衛生署草屯療養院,南投縣草屯鎮御史里玉屏路161號
內政部社會福利工作人員研習中心,南投縣草屯鎮南埔里南坪路528號
台灣工藝研究發展中心,南投縣草屯鎮富寮里中正路573號
南投縣草屯鎮公所,南投縣草屯鎮中山里草鞋墩1街8號
林務局南投林區管理處,南投縣草屯鎮新庄里史館路456號
南投縣草屯鎮公有零售市場,南投縣草屯鎮和平里和興街55號
台電南投區營業處,南投縣草屯鎮山腳里太平路1段42號
財政部臺灣省中區國稅局竹山稽徵所,南投縣竹山鎮雲林里公所路106號
車籠埔斷層保存園區,南投縣竹山鎮 山崇里 集山路2段345號
行政院農委會特有生物研究保育中心,南投縣集集鎮永昌里民生東路1號
經濟部水利署中區水資源局集集攔河堰管理中心,南投縣集集鎮林尾里攔河路2號
南投縣政府警察局集集分局,南投縣集集鎮玉映里民生路63號
南投縣集集鎮公所,南投縣集集鎮玉映里民生路75號
台大實驗林管理處-溪頭自然教育園區,南投縣鹿谷鄉內湖村森林巷9號
南投縣中寮鄉公所,南投縣中寮鄉永平村永平路270號
日月潭國家風景區管理處-向山遊客中心,南投縣魚池鄉水社村中山路599號
南投縣魚池鄉公所,南投縣魚池鄉魚池村秀水巷33號
玉山國家公園管理處,南投縣水里鄉北埔村中山路1段515號
南投縣水里鄉公所,南投縣水里鄉鉅工村民生路112號
南投縣信義鄉衛生所,南投縣信義鄉明德村玉山路45號
南投縣信義鄉農會,南投縣信義鄉明德村新開巷11號
南投縣仁愛鄉衛生所,南投縣仁愛鄉大同村五福巷17號
土地銀行竹北分行,新竹縣竹北市縣政九路130號5樓哺集乳室
台大醫院竹東分院,新竹縣竹東鎮至善路52號3樓哺集乳室
台北榮民總醫院新竹分院,新竹縣竹東鎮中豐路1段81號2樓哺集乳室
交通部公路總局新竹區監理所,新竹縣新埔鎮文德路3段58號
交通部觀光局參山國家風景區管理處(獅頭山管理站),新竹縣峨眉鄉七星村六寮60-8號
尖石鄉衛生所,新竹縣尖石鄉嘉樂村2鄰61號1樓哺集乳室
竹北市公所,新竹縣竹北市中正西路50號1樓哺集乳室
竹北市地政事務所,新竹縣竹北市三民路200號B1樓哺集乳室
竹北市衛生所,新竹縣竹北市光明二街89號1樓哺集乳室
竹東地政事務所,新竹縣竹東鎮長安路124巷8號B1樓哺集乳室
竹東樹杞林文化館,新竹縣竹東鎮新生路377號2樓哺集乳室
竹東鎮公所,新竹縣竹東鎮東林路88號1樓哺集乳室
竹東鎮衛生所,新竹縣竹東鎮中正路221號2樓哺集乳室
峨眉鄉衛生所,新竹縣峨眉鄉峨眉村2鄰5號2樓哺集乳室
海景世界企業(股)有限公司-湖口營業所(南下.北上),新竹縣湖口鄉榮光路158號
財政部台灣省北區國稅局-新竹縣分局,新竹縣竹北市縣政九路120號1樓哺集乳室
教育研究發展暨網路中心,新竹縣竹東鎮中山路68號1樓哺集乳室
湖口鄉公所,新竹縣湖口鄉中央街1號2樓哺集乳室
新竹縣文化局縣史館,新竹縣竹北市縣政九路146號1樓、2樓哺集乳室
新竹縣政府,新竹縣竹北市光明六路10號1樓哺集乳室(後棟AB棟各一)
新竹縣政府文化局圖書館,新竹縣竹北市縣政九路146號1樓、2樓哺集乳室
新竹縣政府稅捐稽徵局,新竹縣竹北市光明六路6號1樓哺集乳室
新竹縣政府衛生局,新竹縣竹北市光明七街1號1樓哺集乳室
新竹縣政府警察局,新竹縣竹北市光明六路12號3樓哺集乳室
新竹縣家蓄疾病防治所,新竹縣竹北市縣政五街192號1樓哺集乳室
新竹縣婦幼館,新竹縣竹北市縣政二路620號1樓哺集乳室
新竹縣游泳館,新竹縣竹北市福興東路1段199號1樓哺集乳室
新竹縣環境保護局,新竹縣竹北市光明五街62號3樓哺集乳室
新竹縣議會,新竹縣竹北市光明六路8號1樓哺集乳室
新竹縣體育場(戶內面積),新竹縣竹北市光明六路東一段2號1樓哺集乳室
新竹縣體育館,新竹縣竹北市福興東路1段197號1樓哺集乳室
新東陽股份有限公司關西服務區,新竹縣關西鎮東安里上三屯14號
新豐鄉公所,新竹縣新豐鄉新市路93號3樓哺集乳室
新豐鄉衛生所,新竹縣新豐鄉建興路2段748巷25號2樓哺集乳室
橫山鄉衛生所,新竹縣橫山鄉大肚村新興街141巷10號1樓哺集乳室
寶山鄉公所,新竹縣寶山鄉雙溪村4鄰雙園路2段325號1樓哺集乳室
新竹瓦斯股份有限公司竹北服務中心,新竹縣竹北市光明五街66號1樓哺集乳室
台灣高速鐵路股份有限公司新竹車站,新竹縣竹北市高鐵七路6號2樓哺集乳室
湖口火車站,新竹縣湖口鄉中山路2段121號3樓哺集乳室
家樂福竹北店,新竹縣竹北市光明六路89號2樓哺集乳室
移民署中區事務大隊新竹服務站,新竹縣竹北市三民路133號1樓
尖石鄉公所,新竹縣尖石鄉家樂村2鄰70號
衛生福利部臺中醫院,臺中市西區三民路1段199號2樓
臺中市西區區公所,臺中市西區金山路11號1樓
臺中市政府大墩文化中心,臺中市西區英才路600號B1樓
國立臺灣美術館,臺中市西區五權西路1段2號1樓.2樓
財政部中區國稅局,臺中市西區民生路168號B1樓
臺中市政府交通局,臺中市西區民權路101號1樓
臺中市中區區公所,臺中市中區成功路300號3樓
臺灣鐵路管理局台中火車站,臺中市中區台灣大道1段1號1樓
廣三崇光國際開發股份有限公司,臺中市西區臺灣大道2段459號8樓
勤美誠品綠園道,臺中市西區公益路68號B1樓.B2樓
日曜天地OUTLET,臺中市中區自由路2段94號2樓
中華郵政股份有限公司臺中民權路郵局,臺中市中區民權路86號2樓
臺中英才路郵局,臺中市西區民生路200號2樓
臺中市政府地政局,臺中市西區三民路1段158號6樓
臺中市西區戶政事務所,臺中市西區三民路1段161號3樓
臺中市立圖書館西區分館,臺中市西區精誠路256號1樓
財政部中區國稅局大智稽徵所,臺中市西區民權路95號8樓
臺中文學館,臺中市西區樂群街38號1樓
臺中市政府警察局第二分局,臺中市北區太原路2段228號
臺中市政府警察局第二分局文正派出所,臺中市北區台灣大道1段700號
交通部公路總局臺中區監理所臺中市監理站,臺中市北區北屯路77號
臺中市北區戶政事務所,臺中市北區永興街299號
臺中市北區區公所,臺中市北區永興街301號
國立自然科學博物館,臺中市北區館前路1號
臺灣自來水股份有限公司第四區管理處,臺中市北區雙十路2段2-1號
臺灣自來水股份有限公司第四區管理處臺中服務所,臺中市北區雙十路2段2號
臺中市立圖書館北區分館,臺中市北區健行路359號2樓
國立台灣體育運動大學藝文場館中興堂,臺中市北區精武路291-3號
臺中市中山堂,臺中市北區學士路98號
臺灣家福股份有限公司家樂福崇德店,臺中市北區崇德路1段635號
潤泰集團大潤發忠明店,臺中市北區忠明路499號
中友百貨股份有限公司台中分公司,臺中市北區三民路3段161號
臺中市北區衛生所,臺中市北區永興街301號4樓
臺中市北區國民運動中心,臺中市北區崇德路1段55號1樓
臺中市北區親子館,臺中市北區民權路400號2-3樓
臺中文化創意產業園區,臺中市南區復興路3段362號
經濟部標準檢驗局臺中分局,臺中市南區工學路70號
臺中市南區區公所,臺中市南區工學路72號3.4樓
臺中市南區戶政事務所,臺中市南區工學路72號1樓
臺中市政府警察局第三分局,臺中市南區復興路3段159號
愛買量販店復興店(整修中),臺中市南區復興路1段359號
臺中市立圖書館南區分館,臺中市南區五權南路335號2樓
臺中市南區衛生所,臺中市南區工學路72號2樓
臺中市政府警察局第三分局勤工派出所,臺中市南區復興路1段235號
臺中市政府警察局第三分局健康派出所,臺中市南區美村南路8號
國立公共資訊圖書館,臺中市南區五權南路100號
臺中市立圖書館東區分館,臺中市東區建德街144號
臺中市東區區公所,臺中市東區長福路245號
臺中市政府地方稅務局大智分局,臺中市東區建中街141號
大魯閣新時代購物中心,臺中市東區復興路4段186號
秀泰生活台中站前店,臺中市東區南京路76號、66號2樓
臺中市新建國市場,臺中市東區建成路500號
臺中榮民總醫院,臺中市西屯區台灣大道4段1650號婦幼大樓1.2.6樓
臺中市西屯區衛生所,臺中市西屯區西屯路2段299號
衛生福利部中央健康保險署中區業務組,臺中市西屯區市政北一路66號1樓
臺中市政府地方稅務局,臺中市西屯區文心路2段99號3樓
臺中市政府,臺中市西屯區台灣大道3段99號惠中樓2樓
臺中市西屯區公所,臺中市西屯區市政北2路386號1樓
遠東百貨股份有限公司台中分公司,臺中市西屯區台灣大道3段251號5樓
家福股份有限公司台中中清分公司,臺中市西屯區中清路3段436號
台灣家樂福股份有限公司清海分公司,臺中市西屯區青海路2段207-18號B1樓
TIGER CITY購物中心,臺中市西屯區河南路3段120號B1樓
新光三越百貨股份有限公司台中中港分公司,臺中市西屯區台灣大道3段301號
臺中市立圖書館西屯分館,臺中市西屯區福星路666號
