11090522724048,0019000800020003
11091003047297,000500160002
21108057371476,001300150004
21112212344788,000900020006
21201011104070,0009000400050003
21201153641411,0019000400050001
21204124057097,0009000200010001
21205237594404,000900150010
21210078500949,001700120001
21210148777325,0009000200010002
21303065114264,000900020012
21303304463616,00110003002100010004
21304102156667,000900150002
21304113436761,002000040003000100020004
21306135767001,0019000800010004
21306167663731,0021000200100001
21307318211863,0008000100150009
21309249252447,00190006
21310183788585,0019000400070004
21311184520468,000700210005
21311232720992,0019000400010025
21312309727197,002300230003
21401235855703,0019000800020001
21402216707259,0009001900040002
21404184422440,0006000300070003
21405298475939,00200004000300070002
21406030259642,0005000300070001
21406182686846,0011000500230002
21406246493056,000900150001
21407252313022,0019000500010003
21407258947953,001100030010
21408119130055,002300290008
21408194497144,000800170001
21436123165363,0006000300040003
21442485341086,0021000200020024
21442492899891,00210001000300200010
21443532167110,002100020011
21443533338290,0005000700060002
21446719379429,0023002300020004
21448828108792,0009000200010001
21449880640725,0002000500120002
21449897546403,001900070004
21449899913784,001100160008
21452114491970,0019000400010020
21501171530286,000100110010
21507486482894,00200004000400240006
21507495694529,002000040003000700070004
21513801268827,00230018000200030001
21517129090793,0019000800020007
21519296034619,0009000200030002
21525824535697,00230030000500020001
21525848307656,000900020011
21525861705596,001900050003
21530212748184,000500020019
21532319396857,00110003001300020003
21533397075555,000600330008
21537608805162,0009000200020003
21537613195171,0009000200010001
21540762335581,0019000500020016
21541787569230,00190001000100410001
21543901265008,0019000500020011
21544972380274,0019000800010003
21546056305984,00090014
21547140690380,0009000500140001
21552446844892,0023000900010002
21552484205895,0009001800010002
21603731012747,0019000500010006
21604762569750,000900020011
21605771398111,9998
21608836048477,001900070002
21608901423848,0005002500010012
21610058490220,000900040006
21614442798873,0005000100040016
21615488451308,0017000100080007
21615509422186,000500140009
21616529266095,000900150010
21616535900862,0005000700060001
21617596774599,0005000300070001
21617603442725,0005000700060001
21618632353482,0019000400010006
21618673046497,000500110012000500070002
21619720822651,0019000500020016
21621762353581,0005000100050008
21621784351246,00050011001200120005
21622810473635,00050001000800020003
21622811588093,00190004000300050008
21622812357829,00090018000200060003
21622822378979,9999
21622823244949,0005000700060001
21622828998973,001300310001
